[22/06 10:04:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:04:04] Captura (PowerShell) reaberta.
[22/06 10:09:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:09:04] Captura (PowerShell) reaberta.
[22/06 10:14:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:14:04] Captura (PowerShell) reaberta.
[22/06 10:19:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:19:04] Captura (PowerShell) reaberta.
[22/06 10:24:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:24:04] Captura (PowerShell) reaberta.
[22/06 10:29:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:29:04] Captura (PowerShell) reaberta.
[22/06 10:34:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:34:04] Captura (PowerShell) reaberta.
[22/06 10:39:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:39:04] Captura (PowerShell) reaberta.
[22/06 10:44:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:44:04] Captura (PowerShell) reaberta.
[22/06 10:49:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:49:04] Captura (PowerShell) reaberta.
[22/06 10:54:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:54:04] Captura (PowerShell) reaberta.
[22/06 10:59:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 10:59:03] Captura (PowerShell) reaberta.
[22/06 11:04:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:04:03] Captura (PowerShell) reaberta.
[22/06 11:09:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:09:03] Captura (PowerShell) reaberta.
[22/06 11:14:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:14:03] Captura (PowerShell) reaberta.
[22/06 11:19:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:19:03] Captura (PowerShell) reaberta.
[22/06 11:24:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:24:03] Captura (PowerShell) reaberta.
[22/06 11:29:03] Captura parada. Reabrindo a versao PowerShell...
