[18/06 07:50:01] Captura (PowerShell) reaberta.
[18/06 07:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:55:01] Captura (PowerShell) reaberta.
[18/06 08:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:00:02] Captura (PowerShell) reaberta.
[18/06 08:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:05:01] Captura (PowerShell) reaberta.
[18/06 08:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:10:01] Captura (PowerShell) reaberta.
[18/06 08:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:15:01] Captura (PowerShell) reaberta.
[18/06 08:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:20:01] Captura (PowerShell) reaberta.
[18/06 08:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:25:01] Captura (PowerShell) reaberta.
[18/06 08:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:30:01] Captura (PowerShell) reaberta.
[18/06 08:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:35:01] Captura (PowerShell) reaberta.
[18/06 08:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:40:01] Captura (PowerShell) reaberta.
[18/06 08:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:45:01] Captura (PowerShell) reaberta.
[18/06 08:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:50:01] Captura (PowerShell) reaberta.
[18/06 08:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 08:55:01] Captura (PowerShell) reaberta.
[18/06 09:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:00:02] Captura (PowerShell) reaberta.
[18/06 09:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:05:01] Captura (PowerShell) reaberta.
[18/06 09:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:10:01] Captura (PowerShell) reaberta.
[18/06 09:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:15:01] Captura (PowerShell) reaberta.
[18/06 09:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:20:01] Captura (PowerShell) reaberta.
[18/06 09:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:25:01] Captura (PowerShell) reaberta.
[18/06 09:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:30:01] Captura (PowerShell) reaberta.
[18/06 09:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:35:01] Captura (PowerShell) reaberta.
[18/06 09:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:40:01] Captura (PowerShell) reaberta.
[18/06 09:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:45:01] Captura (PowerShell) reaberta.
[18/06 09:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:50:01] Captura (PowerShell) reaberta.
[18/06 09:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 09:55:01] Captura (PowerShell) reaberta.
[18/06 10:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:00:02] Captura (PowerShell) reaberta.
[18/06 10:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:05:01] Captura (PowerShell) reaberta.
[18/06 10:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:10:01] Captura (PowerShell) reaberta.
[18/06 10:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:15:01] Captura (PowerShell) reaberta.
[18/06 10:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:20:01] Captura (PowerShell) reaberta.
[18/06 10:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:25:01] Captura (PowerShell) reaberta.
[18/06 10:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:30:01] Captura (PowerShell) reaberta.
[18/06 10:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:35:01] Captura (PowerShell) reaberta.
[18/06 10:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:40:01] Captura (PowerShell) reaberta.
[18/06 10:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:45:01] Captura (PowerShell) reaberta.
[18/06 10:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:50:01] Captura (PowerShell) reaberta.
[18/06 10:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 10:55:01] Captura (PowerShell) reaberta.
[18/06 11:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:00:02] Captura (PowerShell) reaberta.
[18/06 11:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:05:01] Captura (PowerShell) reaberta.
[18/06 11:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:10:01] Captura (PowerShell) reaberta.
[18/06 11:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:15:01] Captura (PowerShell) reaberta.
[18/06 11:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:20:01] Captura (PowerShell) reaberta.
[18/06 11:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:25:01] Captura (PowerShell) reaberta.
[18/06 11:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:30:01] Captura (PowerShell) reaberta.
[18/06 11:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:35:01] Captura (PowerShell) reaberta.
[18/06 11:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:40:01] Captura (PowerShell) reaberta.
[18/06 11:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:45:01] Captura (PowerShell) reaberta.
[18/06 11:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:50:01] Captura (PowerShell) reaberta.
[18/06 11:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 11:55:01] Captura (PowerShell) reaberta.
[18/06 12:00:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:00:01] Captura (PowerShell) reaberta.
[18/06 12:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:05:01] Captura (PowerShell) reaberta.
[18/06 12:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:10:01] Captura (PowerShell) reaberta.
[18/06 12:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:15:01] Captura (PowerShell) reaberta.
[18/06 12:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:20:01] Captura (PowerShell) reaberta.
[18/06 12:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:25:01] Captura (PowerShell) reaberta.
[18/06 12:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:30:01] Captura (PowerShell) reaberta.
[18/06 12:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:35:01] Captura (PowerShell) reaberta.
[18/06 12:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:40:01] Captura (PowerShell) reaberta.
[18/06 12:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:45:01] Captura (PowerShell) reaberta.
[18/06 12:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:50:01] Captura (PowerShell) reaberta.
[18/06 12:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 12:55:01] Captura (PowerShell) reaberta.
[18/06 13:00:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:00:01] Captura (PowerShell) reaberta.
[18/06 13:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:05:01] Captura (PowerShell) reaberta.
[18/06 13:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:10:01] Captura (PowerShell) reaberta.
[18/06 13:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:15:01] Captura (PowerShell) reaberta.
[18/06 13:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:20:01] Captura (PowerShell) reaberta.
[18/06 13:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:25:01] Captura (PowerShell) reaberta.
[18/06 13:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:30:01] Captura (PowerShell) reaberta.
[18/06 13:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:35:01] Captura (PowerShell) reaberta.
[18/06 13:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:40:01] Captura (PowerShell) reaberta.
[18/06 13:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:45:01] Captura (PowerShell) reaberta.
[18/06 13:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:50:01] Captura (PowerShell) reaberta.
[18/06 13:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 13:55:01] Captura (PowerShell) reaberta.
[18/06 14:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:00:02] Captura (PowerShell) reaberta.
[18/06 14:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:05:01] Captura (PowerShell) reaberta.
[18/06 14:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:10:01] Captura (PowerShell) reaberta.
[18/06 14:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:15:01] Captura (PowerShell) reaberta.
[18/06 14:20:01] Captura parada. Reabrindo a versao PowerShell...
